chave,valor
data_hora,2026-09-17 16:39:20
grafo,grafo_3
arquivo,/home/jpgar/grafos/dados/grafo_3.txt
representacao,lista
semente,42
limite_ifub_s,1800.0
cpu,AMD Ryzen 5 5500
memtotal_mb,7874.641
compilador,g++ 15.2.0
memoria_status,ok
n,375000
m,765615
linhas_aresta,765618
lacos_ignorados,1
repetidas_ignoradas,2
rss_base_mb,4.512
rss_depois_mb,26.402
rss_diferenca_mb,21.891
estrutura_mb,15.855
estrutura_bytes,16624920
tempo_carga_s,0.179498
num_buscas,100
bfs_media_s,1.618615044e-02
bfs_desvio_s,6.071604742e-03
dfs_media_s,4.647896501e-02
dfs_desvio_s,1.422605313e-02
vertices_sorteados,245407 369825 241451 280663 314382 228429 113537 66145 57551 149258 345596 349663 70393 261407 162310 372393 167359 2211 328610 179352 41660 12075 91426 257330 57790 30461 98554 212373 256631 188141 327560 81384 59003 52789 238317 15168 246977 142847 7313 127908 101152 24785 217286 373722 138297 209266 171663 256964 298826 2695 293529 127216 74909 249682 267468 78551 320578 330366 117364 104153 70886 294069 224282 128312 128984 192382 14954 117806 63991 345810 352422 62475 46022 103598 368413 100969 28974 259061 57341 181769 183925 24858 109248 33891 315544 140765 348970 219363 80696 61416 246058 32148 31308 329324 73791 207160 180029 154825 355383 138114
pai_bfs_raiz1_v10,nao_alcancado
pai_bfs_raiz1_v20,nao_alcancado
pai_bfs_raiz1_v30,141597
pai_dfs_raiz1_v10,nao_alcancado
pai_dfs_raiz1_v20,nao_alcancado
pai_dfs_raiz1_v30,141597
pai_bfs_raiz2_v10,158403
pai_bfs_raiz2_v20,75471
pai_bfs_raiz2_v30,nao_alcancado
pai_dfs_raiz2_v10,192218
pai_dfs_raiz2_v20,141526
pai_dfs_raiz2_v30,nao_alcancado
pai_bfs_raiz3_v10,158403
pai_bfs_raiz3_v20,319691
pai_bfs_raiz3_v30,nao_alcancado
pai_dfs_raiz3_v10,106718
pai_dfs_raiz3_v20,141526
pai_dfs_raiz3_v30,nao_alcancado
dist_10_20,9
dist_10_30,infinito
dist_20_30,infinito
grau_minimo,1
grau_maximo,15
grau_medio,4.0833
mediana_grau,4.0
num_componentes,2
maior_componente,250000
menor_componente,125000
arquivo_estatisticas,grafo_3_lista_estatisticas.txt
diam_aprox_valor,21
diam_aprox_limite_inferior,21
diam_aprox_limite_superior,30
diam_aprox_u,211931
diam_aprox_v,183211
diam_aprox_exato,nao
diam_aprox_tempo_esgotado,nao
diam_aprox_num_bfs,10
diam_aprox_segundos,0.173617
diam_exato_valor,22
diam_exato_limite_inferior,22
diam_exato_limite_superior,22
diam_exato_u,21977
diam_exato_v,251813
diam_exato_exato,sim
diam_exato_tempo_esgotado,nao
diam_exato_num_bfs,25744
diam_exato_segundos,229.471371
